Voltage,Current
-49.872,-20.615772
-49.739912,-24.216336
-48.815296,-24.54366
-48.286944,-18.979152
-47.23024,-21.597744
-46.701888,-19.6338
-46.5698,-20.288448
-44.720568,-16.687884
-44.060128,-21.597744
-43.399688,-22.90704
-42.60716,-20.943096
-41.418368,-16.36056
-39.30496,-20.615772
-38.908696,-17.342532
-38.776608,-22.579716
-36.6632,-17.342532
-35.738584,-16.687884
-35.210232,-18.651828
-34.153528,-19.6338
-33.757264,-16.687884
-33.096824,-18.324504
-31.511768,-15.378588
-30.851328,-18.324504
-30.190888,-20.943096
-29.266272,-19.6338
-28.07748,-13.08732
-27.549128,-15.051264
-25.964072,-17.99718
-25.171544,-18.651828
-23.586488,-17.015208
-22.397696,-16.033236
-21.737256,-15.051264
-21.076816,-18.651828
-19.755936,-14.72394
-18.17088,-14.069292
-17.906704,-17.342532
-17.246264,-16.033236
-16.18956,-17.669856
-14.86868,-13.08732
-13.944064,-11.4507
-13.019448,-16.687884
-12.359008,-15.705912
-10.2456,-14.069292
-9.188896,-14.72394
-8.528456,-12.759996
-8.000104,-15.378588
-7.207576,-12.759996
-6.415048,-10.141404
-4.96208,-14.72394
-4.565816,-9.81408
-4.433728,-11.778024
-3.244936,-11.123376
-1.65988,-9.159432
-1.131528,-7.850136
-0.074824,-9.159432
0.453528,-8.832108
0.849792,-7.195488
2.30276,-3.594924
2.9632,-6.213516
3.359464,-5.558868
5.076608,-0.649008
5.869136,0.00564
6.92584,0.332964
7.190016,2.624232
7.454192,0.00564
8.90716,3.606204
10.492216,4.260852
10.88848,6.55212
11.945184,7.206768
12.077272,6.224796
13.398152,9.498036
13.794416,11.46198
13.926504,8.18874
15.115296,11.46198
16.436176,14.080572
17.624968,15.062544
18.285408,14.73522
18.417496,13.425924
20.002552,16.044516
20.927168,18.00846
21.059256,16.699164
21.323432,18.00846
22.7764,19.64508
23.304752,19.64508
23.965192,20.954376
24.889808,21.609024
24.889808,21.609024
25.946512,21.936348
27.531568,24.882264
27.927832,25.209588
29.116624,25.864236
30.04124,26.846208
30.833768,26.518884
30.965856,29.137476
31.097944,27.500856
32.286736,29.4648
34.66432,32.73804
35.192672,32.410716
35.721024,34.047336
35.853112,33.720012
37.834432,34.701984
38.362784,36.01128
38.759048,37.6479
39.155312,37.975224
41.004544,37.6479
41.532896,40.92114
41.92916,42.55776
42.853776,41.248464
43.382128,44.521704
45.8918,44.521704
46.023888,47.46762
46.155976,46.158324
47.080592,48.776916
48.137296,47.140296
49.061912,50.413536
49.458176,51.068184
49.590264,51.395508
